"Title";"Type";"Rootfolder";"LibraryName";"Language";"Fallback";"TextTruncated";"Download Source";"Fav Provider Link"
"The Godfather Part II";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/cHLyjqkvXhcadSYY9RX6b9QoMtK.jpg";"https://www.themoviedb.org/movie/240/images/posters"
"Godzilla";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/zsQpPQ8d2MP1mBXoveLYSIjxFvS.jpg";"https://www.themoviedb.org/movie/124905/images/posters"
"Godzilla Minus One";"Movie";"Godzilla Minus One (2023)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/6jWGKWnNIQVEKiUAWNbB2bkGuFz.jpg";"https://www.themoviedb.org/movie/940721/images/posters"
"Godzilla vs. Kong";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/f34MhVSeMS2lDhzFiQ7aL8dsP3D.jpg";"https://www.themoviedb.org/movie/399566/images/posters"
"Godzilla x Kong: The New Empire";"Movie";"Godzilla x Kong The New Empire (2024)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/i47JbfwCV5vI1uMJzHpyKdKEgAj.jpg";"https://www.themoviedb.org/movie/823464/images/posters"
"Godzilla: King of the Monsters";"Movie";"9. Movies - Series";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/82wLPfiO1T4hhcN0jLWkXEQopQb.jpg";"https://www.themoviedb.org/movie/373571/images/posters"
"The Golden Child";"Movie";"The Golden Child (1986)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/tR8cWS8M9u4gTBJLPOh1H9Pc0JS.jpg";"https://www.themoviedb.org/movie/10136/images/posters"
"GoldenEye";"Movie";"5. Movies - James Bond";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/x0F7RMUrQqPQJVi5B0Mm6bPvaV6.jpg";"https://www.themoviedb.org/movie/710/images/posters"
"Goldfinger";"Movie";"5. Movies - James Bond";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/jSqzUnxBW6rJd05ufZhDemfyHmE.jpg";"https://www.themoviedb.org/movie/658/images/posters"
"Gone Baby Gone";"Movie";"Gone Baby Gone (2007)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/vukeW0PquYesPvdMkphfUUrccod.jpg";"https://www.themoviedb.org/movie/4771/images/posters"
"Gone Girl";"Movie";"Gone Girl (2014)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/2x3yXiyG4kcEIIVEFdjlE4EFeAz.jpg";"https://www.themoviedb.org/movie/210577/images/posters"
"Gone in 60 Seconds";"Movie";"Gone in Sixty Seconds (2000)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/dbGJcp9LaHJXkDOBxAunPeSx4G8.jpg";"https://www.themoviedb.org/movie/9679/images/posters"
"The Good Dinosaur";"Movie";"13. Movies - Disney";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/iUG8wPnwvqaP5MFnn0BvbUjB2Zh.jpg";"https://www.themoviedb.org/movie/105864/images/posters"
"The Good Nurse";"Movie";"The Good Nurse (2022)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/gOywySl9X8am3GCoKlocknIStKn.jpg";"https://www.themoviedb.org/movie/541134/images/posters"
"Good Will Hunting";"Movie";"Good Will Hunting (1997)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/dVMgsgSXBmwJxeDmqkJHHENwtsQ.jpg";"https://www.themoviedb.org/movie/489/images/posters"
"A Goofy Movie";"Movie";"1. Movies - Animated";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/i0DzqU3IthroKcyiwOkY9R9DJYh.jpg";"https://www.themoviedb.org/movie/15789/images/posters"
"The Goonies";"Movie";"The Goonies (1985) CD1";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/r6D12BBgGbukQHSi15Vd2HBSjBw.jpg";"https://www.themoviedb.org/movie/9340/images/posters"
"Gran Torino";"Movie";"Gran Torino (2008)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/yOa7d8kGgWi8AFYLhOW3PBato2L.jpg";"https://www.themoviedb.org/movie/13223/images/posters"
"Gran Turismo";"Movie";"Gran Turismo (2023)";"Movies";"Textless";"false";"false";"https://image.tmdb.org/t/p/original/obyaNcaSYdP4kwN4RKeEZVikvCJ.jpg";"https://www.themoviedb.org/movie/980489/images/posters"
