"Library Name";"Library Type";"Library Language";"title";"originalTitle";"SeasonNames";"SeasonNumbers";"SeasonRatingKeys";"year";"tvdbid";"imdbid";"tmdbid";"ratingKey";"Path";"RootFoldername";"MultipleVersions";"PlexPosterUrl";"PlexBackgroundUrl";"PlexSeasonUrls"
"Movies";"movie";"en";"The Purge";;;;;"2013";"409";"tt2184339";"158015";"42114";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/42114/thumb/1728225848";"/library/metadata/42114/art/1728225848";
"Movies";"movie";"en";"The Purge: Anarchy";;;;;"2014";"327";"tt2975578";"238636";"42115";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/42115/thumb/1728225849";"/library/metadata/42115/art/1728225849";
"Movies";"movie";"en";"The Purge: Election Year";;;;;"2016";"1027";"tt4094724";"316727";"42152";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/42152/thumb/1728225850";"/library/metadata/42152/art/1728225850";
"Movies";"movie";"en";"Quantum of Solace";;;;;"2008";"400";"tt0830515";"10764";"43571";"/data/Movies/";"5. Movies - James Bond";"False";"/library/metadata/43571/thumb/1728225850";"/library/metadata/43571/art/1728225850";
"Movies";"movie";"en";"A Quiet Place";;;;;"2018";"106";"tt6644200";"447332";"43289";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/43289/thumb/1728225851";"/library/metadata/43289/art/1728225851";
"Movies";"movie";"en";"A Quiet Place Part II";;;;;"2021";"40102";"tt8332922";"520763";"43292";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/43292/thumb/1728225851";"/library/metadata/43292/art/1728225851";
"Movies";"movie";"en";"Quints";;;;;"2000";"29467";"tt0245380";"101514";"55839";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55839/thumb/1728225852";"/library/metadata/55839/art/1728225852";
"Movies";"movie";"en";"Race to Witch Mountain";;;;;"2009";"3247";"tt1075417";"13836";"55840";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55840/thumb/1728225852";;
"Movies";"movie";"en";"Radio Rebel";;;;;"2012";"5876";"tt2008633";"89185";"55152";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55152/thumb/1728225852";"/library/metadata/55152/art/1728225852";
"Movies";"movie";"en";"Raiders of the Lost Ark";;;;;"1981";"323";"tt0082971";"85";"41304";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/41304/thumb/1728225853";"/library/metadata/41304/art/1728225853";
"Movies";"movie";"en";"Ralph Breaks the Internet";;;;;"2018";"3";"tt5848272";"404368";"38509";"/data/Movies/";"1. Movies - Animated";"False";"/library/metadata/38509/thumb/1728225854";"/library/metadata/38509/art/1728225854";
"Movies";"movie";"en";"Rambo";;;;;"2008";"989";"tt0462499";"7555";"56309";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56309/thumb/1728225855";"/library/metadata/56309/art/1728225855";
"Movies";"movie";"en";"Rambo III";;;;;"1988";"1020";"tt0095956";"1370";"56297";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56297/thumb/1728225856";"/library/metadata/56297/art/1728225856";
"Movies";"movie";"en";"Rambo: First Blood Part II";;;;;"1985";"481";"tt0089880";"1369";"56307";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56307/thumb/1728225857";"/library/metadata/56307/art/1728225857";
"Movies";"movie";"en";"Rambo: Last Blood";;;;;"2019";"13659";"tt1206885";"522938";"56296";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56296/thumb/1728225857";"/library/metadata/56296/art/1728225857";
"Movies";"movie";"en";"Ratatouille";;;;;"2007";"534";"tt0382932";"2062";"38511";"/data/Movies/";"13. Movies - Disney";"True";"/library/metadata/38511/thumb/1728225858";"/library/metadata/38511/art/1728225858";
"Movies";"movie";"en";"Raya and the Last Dragon";;;;;"2021";"131415";"tt5109280";"527774";"38513";"/data/Movies/";"1. Movies - Animated";"False";"/library/metadata/38513/thumb/1728225859";"/library/metadata/38513/art/1728225859";
"Movies";"movie";"en";"Read It and Weep";;;;;"2006";"8847";"tt0494716";"4641";"55842";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55842/thumb/1728225860";;
"Movies";"movie";"en";"Ready Player One";;;;;"2018";"73";"tt1677720";"333339";"14273";"/data/Movies/";"Ready Player One (2018)";"False";"/library/metadata/14273/thumb/1728225861";"/library/metadata/14273/art/1728225861";
"Movies";"movie";"en";"Ready to Run";;;;;"2000";"25058";"tt0253550";"77576";"55843";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55843/thumb/1728225862";;
"Movies";"movie";"en";"Real Steel";;;;;"2011";"1176";"tt0433035";"39254";"14282";"/data/Movies/";"Real Steel (2011)";"False";"/library/metadata/14282/thumb/1728225862";"/library/metadata/14282/art/1728225862";
"Movies";"movie";"en";"Recess: School's Out";;;;;"2001";"7446";"tt0265632";"19405";"55844";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55844/thumb/1728225863";;
"Movies";"movie";"en";"Red Dragon";;;;;"2002";"23152";"tt0289765";"9533";"40563";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/40563/thumb/1728225863";"/library/metadata/40563/art/1728225863";
"Movies";"movie";"en";"Red Notice";;;;;"2021";"58253";"tt7991608";"512195";"14284";"/data/Movies/";"Red Notice (2021)";"False";"/library/metadata/14284/thumb/1728225865";"/library/metadata/14284/art/1728225865";
"Movies";"movie";"en";"The Red Turtle";"La tortue rouge";;;;"2016";"8097";"tt3666024";"337703";"44241";"/data/Movies/";"11. Movies - Studio Ghibli";"False";"/library/metadata/44241/thumb/1728225866";"/library/metadata/44241/art/1728225866";
"Movies";"movie";"en";"Reign of Fire";;;;;"2002";"1709";"tt0253556";"6278";"14310";"/data/Movies/";"Reign of Fire (2002)";"False";"/library/metadata/14310/thumb/1728225867";"/library/metadata/14310/art/1728225867";
"Movies";"movie";"en";"Reign of the Supermen";;;;;"2019";"591";"tt7167686";"487672";"39151";"/data/Movies/";"2. Movies - DC";"False";"/library/metadata/39151/thumb/1728225868";"/library/metadata/39151/art/1728225868";
"Movies";"movie";"en";"Reign Over Me";;;;;"2007";"4369";"tt0490204";"2355";"14309";"/data/Movies/";"Reign Over Me (2007)";"False";"/library/metadata/14309/thumb/1728225866";"/library/metadata/14309/art/1728225866";
"Movies";"movie";"en";"Remember the Titans";;;;;"2000";"3360";"tt0210945";"10637";"55845";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55845/thumb/1728225869";"/library/metadata/55845/art/1728225869";
"Movies";"movie";"en";"Reminiscence";;;;;"2021";"95925";"tt3272066";"579047";"12241";"/data/Movies/";"Reminiscence (2021)";"False";"/library/metadata/12241/thumb/1728225870";"/library/metadata/12241/art/1728225870";
"Movies";"movie";"en";"Repo Men";;;;;"2010";"3675";"tt1053424";"31867";"12242";"/data/Movies/";"Repo Men (2010)";"False";"/library/metadata/12242/thumb/1728225870";"/library/metadata/12242/art/1728225870";
"Movies";"movie";"en";"Rescue Dawn";;;;;"2006";"2553";"tt0462504";"9952";"12243";"/data/Movies/";"Rescue Dawn (2006)";"False";"/library/metadata/12243/thumb/1728225871";"/library/metadata/12243/art/1728225871";
"Movies";"movie";"en";"The Rescuers";;;;;"1977";"1505";"tt0076618";"11319";"55418";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55418/thumb/1728225872";"/library/metadata/55418/art/1728225872";
"Movies";"movie";"en";"The Rescuers Down Under";;;;;"1990";"19882";"tt0100477";"11135";"55464";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55464/thumb/1728225873";;
"Movies";"movie";"en";"Resident Evil";;;;;"2002";"1659";"tt0120804";"1576";"56100";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56100/thumb/1728225875";"/library/metadata/56100/art/1728225875";
"Movies";"movie";"en";"Resident Evil: Afterlife";;;;;"2010";"105875";"tt1220634";"35791";"56136";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56136/thumb/1728225877";"/library/metadata/56136/art/1728225877";
"Movies";"movie";"en";"Resident Evil: Apocalypse";;;;;"2004";"4611";"tt0318627";"1577";"56173";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56173/thumb/1728225878";"/library/metadata/56173/art/1728225878";
"Movies";"movie";"en";"Resident Evil: Extinction";;;;;"2007";"12912";"tt0432021";"7737";"56167";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56167/thumb/1728225878";"/library/metadata/56167/art/1728225878";
"Movies";"movie";"en";"Resident Evil: Retribution";;;;;"2012";"39426";"tt1855325";"71679";"56138";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56138/thumb/1728225879";"/library/metadata/56138/art/1728225879";
"Movies";"movie";"en";"Resident Evil: The Final Chapter";;;;;"2016";"99664";"tt2592614";"173897";"56137";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/56137/thumb/1728225880";"/library/metadata/56137/art/1728225880";
"Movies";"movie";"en";"Resident Evil: Welcome to Raccoon City";;;;;"2021";"71151";"tt6920084";"460458";"42108";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/42108/thumb/1728225880";"/library/metadata/42108/art/1728225880";
"Movies";"movie";"en";"The Return of Jafar";;;;;"1994";"1735";"tt0107952";"15969";"55502";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55502/thumb/1728225881";"/library/metadata/55502/art/1728225881";
"Movies";"movie";"en";"Return to Halloweentown";;;;;"2006";"8153";"tt0816520";"34204";"55846";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55846/thumb/1728225882";"/library/metadata/55846/art/1728225882";
"Movies";"movie";"en";"Return to Never Land";;;;;"2002";"3407";"tt0280030";"16690";"55847";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55847/thumb/1728225883";;
"Movies";"movie";"en";"Roadside Romeo";;;;;"2008";"18613";"tt1050739";"20653";"55849";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55849/thumb/1728225883";"/library/metadata/55849/art/1728225883";
"Movies";"movie";"en";"Robin Hood";;;;;"1973";"2144";"tt0070608";"11886";"55674";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55674/thumb/1728225884";"/library/metadata/55674/art/1728225884";
"Movies";"movie";"en";"Robin Hood: Men in Tights";;;;;"1993";"2021";"tt0107977";"8005";"12244";"/data/Movies/";"Robin Hood Men in Tights (1993)";"False";"/library/metadata/12244/thumb/1728225885";"/library/metadata/12244/art/1728225885";
"Movies";"movie";"en";"The Rock";;;;;"1996";"2626";"tt0117500";"9802";"12753";"/data/Movies/";"The Rock (1996)";"False";"/library/metadata/12753/thumb/1728225885";"/library/metadata/12753/art/1728225885";
"Movies";"movie";"en";"Rogue One: A Star Wars Story";"Rogue One";;;;"2016";"367";"tt3748528";"330459";"43295";"/data/Movies/";"10. Movies - Star Wars";"False";"/library/metadata/43295/thumb/1728225887";"/library/metadata/43295/art/1728225887";
"Movies";"movie";"en";"Romeo + Juliet";;;;;"1996";"1455";"tt0117509";"454";"56267";"/data/Movies/";"Romeo & Juliet (1996)";"False";"/library/metadata/56267/thumb/1728225888";"/library/metadata/56267/art/1728225888";
"Movies";"movie";"en";"The Rookie";;;;;"2002";"1748";"tt0265662";"14635";"55896";"/data/Movies/";"13. Movies - Disney";"False";"/library/metadata/55896/thumb/1728225889";"/library/metadata/55896/art/1728225889";
"Movies";"movie";"en";"Rosemary's Baby";;;;;"1968";"3431";"tt0063522";"805";"40021";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/40021/thumb/1728225890";"/library/metadata/40021/art/1728225890";
"Movies";"movie";"en";"Rudolph the Red-Nosed Reindeer";;;;;"1964";"3915";"tt0058536";"13382";"43990";"/data/Movies/";"3. Movies - Holiday";"False";"/library/metadata/43990/thumb/1728225890";"/library/metadata/43990/art/1728225890";
"Movies";"movie";"en";"Rumble";;;;;"2021";"133761";"tt8337158";"598331";"15216";"/data/Movies/";"Rumble (2021)";"False";"/library/metadata/15216/thumb/1728225891";"/library/metadata/15216/art/1728225891";
"Movies";"movie";"en";"Run Lola Run";"Lola rennt";;;;"1998";"2658";"tt0130827";"104";"14565";"/data/Movies/";"Run Lola Run (1998)";"False";"/library/metadata/14565/thumb/1728225893";"/library/metadata/14565/art/1728225893";
"Movies";"movie";"en";"The Running Man";;;;;"1987";"1500";"tt0093894";"865";"12766";"/data/Movies/";"The Running Man (1987)";"False";"/library/metadata/12766/thumb/1728225893";"/library/metadata/12766/art/1728225893";
"Movies";"movie";"en";"Rush Hour 2";;;;;"2001";"2239";"tt0266915";"5175";"42014";"/data/Movies/";"9. Movies - Series";"False";"/library/metadata/42014/thumb/1728225894";"/library/metadata/42014/art/1728225894";
"Movies";"movie";"en";"Sahara";;;;;"2017";"4370";"tt4466894";"423453";"14566";"/data/Movies/";"Sahara (2017)";"False";"/library/metadata/14566/thumb/1728225895";"/library/metadata/14566/art/1728225895";
"Movies";"movie";"en";"Salem's Lot";;;;;"2024";"336830";"tt10245072";"748230";"56514";"/data/Movies/";"4. Movies - Horror";"False";"/library/metadata/56514/thumb/1728225896";"/library/metadata/56514/art/1728225896";
