"Library Name";"Library Type";"Library Language";"title";"originalTitle";"SeasonNames";"SeasonNumbers";"SeasonRatingKeys";"year";"tvdbid";"imdbid";"tmdbid";"ratingKey";"Path";"RootFoldername";"MultipleVersions";"PlexPosterUrl";"PlexBackgroundUrl";"PlexSeasonUrls"
"Movies";"movie";"en";"Toy Story 3";;;;;"2010";"329";"tt0435761";"10193";"64025";"/data/Movies/";"Toy Story 3 (2010)";"False";"/library/metadata/64025/thumb/1728495446";"/library/metadata/64025/art/1728495446";
"Movies";"movie";"en";"Toy Story 4";;;;;"2019";"10792";"tt1979376";"301528";"38858";"/data/Movies/";"Toy Story 4 (2019)";"False";"/library/metadata/38858/thumb/1728423291";"/library/metadata/38858/art/1728423291";
"Movies";"movie";"en";"Trading Places";;;;;"1983";"1087";"tt0086465";"1621";"44144";"/data/Movies/";"Trading Places (1983)";"False";"/library/metadata/44144/thumb/1728423291";"/library/metadata/44144/art/1728423291";
"Movies";"movie";"en";"Training Day";;;;;"2001";"2467";"tt0139654";"2034";"37392";"/data/Movies/";"Training Day (2001)";"False";"/library/metadata/37392/thumb/1728423291";"/library/metadata/37392/art/1728423291";
"Movies";"movie";"en";"Transformers";;;;;"2007";"14648";"tt0418279";"1858";"41488";"/data/Movies/";"Transformers";"False";"/library/metadata/41488/thumb/1728423291";"/library/metadata/41488/art/1728423291";
"Movies";"movie";"en";"Transformers: Rise of the Beasts";;;;;"2023";"158131";"tt5090568";"667538";"12561";"/data/Movies/";"Transformers Rise of the Beasts (2023)";"False";"/library/metadata/12561/thumb/1728423292";"/library/metadata/12561/art/1728423292";
"Movies";"movie";"en";"Transformers: The Last Knight";;;;;"2017";"408";"tt3371366";"335988";"41489";"/data/Movies/";"Transformers";"False";"/library/metadata/41489/thumb/1728423292";"/library/metadata/41489/art/1728423292";
"Movies";"movie";"en";"The Transformers: The Movie";;;;;"1986";"2821";"tt0092106";"1857";"12777";"/data/Movies/";"The Transformers The Movie (1986)";"False";"/library/metadata/12777/thumb/1728423292";"/library/metadata/12777/art/1728423292";
"Movies";"movie";"en";"Treasure Buddies";;;;;"2012";"13958";"tt1791658";"78047";"55311";"/data/Movies/";"Treasure Buddies (2012)";"False";"/library/metadata/55311/thumb/1728423292";"/library/metadata/55311/art/1728423292";
"Movies";"movie";"en";"Treasure Island";;;;;"1950";"10152";"tt0043067";"6646";"63468";"/data/Movies/";"Treasure Island (1950)";"False";"/library/metadata/63468/thumb/1728495293";"/library/metadata/63468/art/1728495293";
"Movies";"movie";"en";"Treasure Planet";;;;;"2002";"655";"tt0133240";"9016";"38859";"/data/Movies/";"Treasure Planet (2002)";"False";"/library/metadata/38859/thumb/1728425572";"/library/metadata/38859/art/1728425572";
"Movies";"movie";"en";"Tremors";;;;;"1990";"3236";"tt0100814";"9362";"41373";"/data/Movies/";"Tremors";"False";"/library/metadata/41373/thumb/1728423292";"/library/metadata/41373/art/1728423292";
"Movies";"movie";"en";"Tremors 3: Back to Perfection";;;;;"2001";"4348";"tt0259685";"10829";"41385";"/data/Movies/";"Tremors";"False";"/library/metadata/41385/thumb/1728423293";"/library/metadata/41385/art/1728423293";
"Movies";"movie";"en";"Tremors 4: The Legend Begins";;;;;"2004";"6801";"tt0334541";"10891";"41419";"/data/Movies/";"Tremors";"False";"/library/metadata/41419/thumb/1728423293";"/library/metadata/41419/art/1728423293";
"Movies";"movie";"en";"Tremors 5: Bloodlines";;;;;"2015";"5423";"tt4180514";"339530";"41475";"/data/Movies/";"Tremors";"False";"/library/metadata/41475/thumb/1728423293";"/library/metadata/41475/art/1728423293";
"Movies";"movie";"en";"Tremors II: Aftershocks";;;;;"1996";"2567";"tt0114720";"11069";"41374";"/data/Movies/";"Tremors";"False";"/library/metadata/41374/thumb/1728423293";"/library/metadata/41374/art/1728423293";
"Movies";"movie";"en";"Tremors: A Cold Day in Hell";;;;;"2018";"2358";"tt6086082";"496704";"41476";"/data/Movies/";"Tremors";"False";"/library/metadata/41476/thumb/1728423293";"/library/metadata/41476/art/1728423293";
"Movies";"movie";"en";"Trolls Holiday in Harmony";;;;;"2021";"318554";"tt15720718";"896221";"38860";"/data/Movies/";"Trolls Holiday in Harmony (2021)";"False";"/library/metadata/38860/thumb/1728423293";"/library/metadata/38860/art/1728423293";
"Movies";"movie";"en";"Tron";;;;;"1982";"3932";"tt0084827";"97";"64120";"/data/Movies/";"Tron (1982)";"False";"/library/metadata/64120/thumb/1728495469";"/library/metadata/64120/art/1728495469";
"Movies";"movie";"en";"Tron: Legacy";;;;;"2010";"1550";"tt1104001";"20526";"63556";"/data/Movies/";"TRON Legacy (2010)";"False";"/library/metadata/63556/thumb/1728495324";"/library/metadata/63556/art/1728495324";
"Movies";"movie";"en";"Tuck Everlasting";;;;;"2002";"4424";"tt0283084";"13768";"63831";"/data/Movies/";"Tuck Everlasting (2002)";"False";"/library/metadata/63831/thumb/1728495404";"/library/metadata/63831/art/1728495404";
"Movies";"movie";"en";"Turning Red";;;;;"2022";"146582";"tt8097030";"508947";"38884";"/data/Movies/";"Turning Red (2022)";"False";"/library/metadata/38884/thumb/1728423294";"/library/metadata/38884/art/1728423294";
"Movies";"movie";"en";"'Twas the Night Before Christmas";;;;;"1974";"24678";"tt0208654";"26547";"43702";"/data/Movies/";"'Twas the Night Before Christmas (1974)";"False";"/library/metadata/43702/thumb/1728423294";"/library/metadata/43702/art/1728423294";
"Movies";"movie";"en";"Twisters";;;;;"2024";"345738";"tt12584954";"718821";"56226";"/data/Movies/";"Twisters (2024)";"False";"/library/metadata/56226/thumb/1728423294";"/library/metadata/56226/art/1728423294";
"Movies";"movie";"en";"The Ugly Dachshund";;;;;"1966";"13424";"tt0061135";"20277";"63947";"/data/Movies/";"The Ugly Dachshund (1966)";"False";"/library/metadata/63947/thumb/1728495431";"/library/metadata/63947/art/1728495431";
"Movies";"movie";"en";"Ultimate Avengers II";;;;;"2006";"3964";"tt0803093";"14611";"64274";"/data/Movies/";"Ultimate Avengers II - Rise of the Panther (2006)";"False";"/library/metadata/64274/thumb/1728508088";;
"Movies";"movie";"en";"Ultimate Avengers: The Movie";"Ultimate Avengers";;;;"2006";"4398";"tt0491703";"14609";"39309";"/data/Movies/";"Ultimate Avengers - The Movie (2006)";"False";"/library/metadata/39309/thumb/1728423294";"/library/metadata/39309/art/1728423294";
"Movies";"movie";"en";"Ultraviolet";;;;;"2006";"4944";"tt0370032";"9920";"12600";"/data/Movies/";"Ultraviolet (2006)";"False";"/library/metadata/12600/thumb/1728423295";"/library/metadata/12600/art/1728423295";
"Movies";"movie";"en";"The Unbearable Weight of Massive Talent";;;;;"2022";"146942";"tt11291274";"648579";"12778";"/data/Movies/";"The Unbearable Weight of Massive Talent (2022)";"False";"/library/metadata/12778/thumb/1728423295";"/library/metadata/12778/art/1728423295";
"Movies";"movie";"en";"Uncharted";;;;;"2022";"132884";"tt1464335";"335787";"12601";"/data/Movies/";"Uncharted (2022)";"False";"/library/metadata/12601/thumb/1728423295";"/library/metadata/12601/art/1728423295";
"Movies";"movie";"en";"Underdog";;;;;"2007";"9101";"tt0467110";"6589";"64016";"/data/Movies/";"Underdog (2007)";"False";"/library/metadata/64016/thumb/1728495439";"/library/metadata/64016/art/1728495439";
"Movies";"movie";"en";"Underworld";;;;;"2003";"1154";"tt0320691";"277";"41334";"/data/Movies/";"Underworld";"False";"/library/metadata/41334/thumb/1728423295";"/library/metadata/41334/art/1728423295";
"Movies";"movie";"en";"Underworld: Awakening";;;;;"2012";"1835";"tt1496025";"52520";"41335";"/data/Movies/";"Underworld";"False";"/library/metadata/41335/thumb/1728423295";"/library/metadata/41335/art/1728423295";
"Movies";"movie";"en";"Underworld: Evolution";;;;;"2006";"1483";"tt0401855";"834";"41362";"/data/Movies/";"Underworld";"False";"/library/metadata/41362/thumb/1728423295";"/library/metadata/41362/art/1728423295";
"Movies";"movie";"en";"The Unforgivable";;;;;"2021";"253583";"tt11233960";"645886";"12795";"/data/Movies/";"The Unforgivable (2021)";"False";"/library/metadata/12795/thumb/1728423296";"/library/metadata/12795/art/1728423296";
"Movies";"movie";"en";"Unfrosted";;;;;"2024";"353608";"tt14914430";"844185";"37878";"/data/Movies/";"Unfrosted (2024)";"False";"/library/metadata/37878/thumb/1728423296";"/library/metadata/37878/art/1728423296";
